county,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
banovce,2020-08-21,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-22,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-23,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-24,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-25,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-26,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-27,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-28,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-29,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-30,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-08-31,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-09-01,,estimate,0,0,0,0,0,0,0,0,0
banovce,2020-09-02,,estimate,0,0,0,0,0,0,0,0,0
banska_bystrica,2020-08-01,,estimate,0,0,0,0,0,0,0,0,0
banska_bystrica,2020-08-02,,estimate,0,0,0,0,0,0,0,0,0
banska_bystrica,2020-08-03,,estimate,0,0,0,0,0,0,0,0,0
banska_bystrica,2020-08-04,,estimate,0,0,0,0,0,0,0,0,0
bardejov,2020-08-02,,estimate,0,0,0,0,0,0,0,0,0
bardejov,2020-08-03,,estimate,0,0,0,0,0,0,0,0,0
bardejov,2020-08-04,,estimate,0,0,0,0,0,0,0,0,0
brezno,2020-08-16,,estimate,0,0,0,0,0,0,0,0,0
brezno,2020-08-17,,estimate,0,0,0,0,0,0,0,0,0
brezno,2020-08-18,,estimate,0,0,0,0,0,0,0,0,0
brezno,2020-08-19,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-04,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-05,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-06,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-07,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-08,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-09,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-10,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-11,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-12,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-14,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-15,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-16,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-17,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-18,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-19,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-20,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-21,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-22,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-23,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-24,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-25,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-26,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-27,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-28,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-29,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-30,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-08-31,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-01,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-02,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-03,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-04,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-05,,estimate,0,0,0,0,0,0,0,0,0
bytca,2020-09-06,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-04,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-05,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-06,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-07,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-08,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-09,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-10,,estimate,0,0,0,0,0,0,0,0,0
detva,2020-08-11,,estimate,0,0,0,0,0,0,0,0,0
